Welk document ligt nog thuis?|Which document is still at home?|کدام مدرک هنوز در خانه است؟
Je hebt gelijk: morgen kan verwarrend zijn als iemand later leest. Ik controleer de afspraak en voeg de volledige datum toe aan het bericht voor iedereen.|You are right: tomorrow can be confusing if someone reads later. I will check the appointment and add the full date to the message for everyone.|درست می‌گویی؛ فردا برای کسی که دیر می‌خواند مبهم است. قرار را بررسی و تاریخ کامل را برای همه به پیام اضافه می‌کنم.

Wat vraagt Sami bij elke functie?|What does Sami ask for each role?|سامی برای هر نقش چه می‌پرسد؟
Een naam en het soort vragen waarvoor die persoon helpt.|A name and the types of questions that person handles.|نام و نوع سؤال‌هایی که آن فرد پاسخ می‌دهد.
Alleen de leeftijd van die persoon.|Only that person's age.|فقط سن فرد.
Dag collega, Sami hier. Ik hoor veel functies, maar weet nog niet bij wie ik terechtkan. Kunt u bij elke rol een naam noemen en zeggen voor welke vragen die persoon helpt? Dan maak ik een bruikbaar lijstje.|Hello colleague, Sami here. I hear many job roles but do not know whom to ask. Could you give a name for each role and explain which questions they handle? Then I can make a useful list.|سلام همکار، سامی هستم. عنوان‌های زیادی می‌شنوم ولی نمی‌دانم از چه کسی بپرسم. برای هر نقش نام و نوع سؤال‌ها را می‌گویید تا فهرست مفیدی بسازم؟
We maken samen een lijst met namen en verantwoordelijkheden. Voor een nieuwe vraag kun je dan de juiste contactpersoon zoeken. Als twee rollen onduidelijk blijven, vragen we extra uitleg.|We will make a list of names and responsibilities together. Then you can find the right contact for a new question. If two roles remain unclear, we will ask for clarification.|فهرست نام‌ها و مسئولیت‌ها را با هم می‌سازیم تا برای سؤال تازه فرد درست پیدا شود. اگر دو نقش مبهم ماند، توضیح بیشتر می‌خواهیم.

Wat vult Mira na de vraag van haar vervanger aan?|What does Mira add after her replacement's question?|میرا بعد از سؤال جانشین چه اضافه می‌کند؟
De volgorde en uiterste tijden van de telefoons.|The order and deadlines for the calls.|ترتیب و آخرین زمان تماس‌ها.
Een nieuwe vakantiebestemming.|A new holiday destination.|مقصد تازه تعطیلات.
Hallo Mira, ik neem je afspraken over tijdens je vakantie. Ik zie dat de klant en leverancier gebeld moeten worden, maar niet welke telefoon eerst moet. Kun je de volgorde en uiterste tijden aanvullen voordat je vertrekt?|Hello Mira, I am taking over your appointments during your holiday. I see the client and supplier need calls but not which comes first. Could you add the order and deadlines before you leave?|سلام میرا، زمان تعطیلاتت قرارها را می‌گیرم. می‌بینم باید به مشتری و تأمین‌کننده زنگ زد، ولی ترتیب روشن نیست. پیش از رفتن ترتیب و آخرین زمان را اضافه می‌کنی؟
Ik voeg de volgorde en uiterste tijden toe aan de overdracht. Daarna lopen we de eerste twee telefoons samen na. Zo weet je waar je mee begint.|I will add the order and deadlines to the handover. Then we will review the first two calls together so you know where to start.|ترتیب و آخرین زمان را به تحویل کار اضافه می‌کنم. بعد دو تماس اول را با هم بررسی می‌کنیم تا بدانی از کجا شروع کنی.

Met wie bespreekt Leen eerst haar opleidingsplan?|Whom does Leen first discuss her training plan with?|لین اول برنامه آموزش را با چه کسی مطرح می‌کند؟
Haar leidinggevende.|Her manager.|مدیرش.
De winkelier.|The shopkeeper.|فروشنده.
Dag leidinggevende, ik wil een opleiding volgen, maar mijn uurrooster wisselt vaak. Kunnen we eerst de mogelijke lesdagen bespreken? Ik wil een concreet voorstel maken en laten controleren welke afspraken daarvoor gelden.|Hello manager, I want to take a course but my schedule often changes. Could we discuss possible class days first? I want to make a concrete proposal and check which arrangements apply.|سلام مدیر، می‌خواهم دوره بگذرانم ولی برنامه‌ام زیاد عوض می‌شود. اول روزهای ممکن کلاس را بررسی کنیم؟ پیشنهاد مشخصی می‌خواهم که با شرایط مربوط سنجیده شود.
Breng je lesdagen en werkrooster mee. We bekijken de mogelijkheden en controleren daarna de geldende afspraken. Zo doen we geen toezegging voordat duidelijk is wat mogelijk is.|Bring your class days and work schedule. We will consider the options and then check the applicable arrangements. We will not promise anything before knowing what is possible.|روزهای کلاس و برنامه کار را بیاور. گزینه‌ها و بعد مقررات مربوط را بررسی می‌کنیم تا پیش از روشن شدن امکان، قول ندهیم.

Wat neemt Noor mee om haar geregistreerde uren te bespreken?|What does Noor bring to discuss her recorded hours?|نور برای بررسی ساعت ثبت‌شده چه می‌آورد؟
Haar eigen notities.|Her own notes.|یادداشت‌های خودش.
De agenda van een klant.|A client's calendar.|تقویم مشتری.
Dag verantwoordelijke, in het overzicht ontbreken enkele werktijden. Ik neem mijn eigen notities mee. Kunnen we beide versies vergelijken en ook bekijken hoe pauzes en overwerk genoteerd worden? Ik wil begrijpen waar het verschil ontstaat.|Hello supervisor, some working hours are missing from the overview. I will bring my own notes. Could we compare both versions and look at how breaks and overtime are recorded? I want to understand the difference.|سلام مسئول، بعضی ساعت‌ها در جدول نیستند. یادداشت‌هایم را می‌آورم. دو نسخه و روش ثبت استراحت و اضافه‌کاری را بررسی می‌کنیم؟ می‌خواهم دلیل تفاوت را بفهمم.
We leggen je notities naast het overzicht en bekijken de verschillen één voor één. Daarna leg ik de registratie uit. Wat niet duidelijk is, zoeken we verder uit.|We will put your notes beside the overview and examine differences one by one. Then I will explain the recording process and investigate anything unclear.|یادداشت‌هایت را کنار جدول می‌گذاریم و تفاوت‌ها را یکی‌یکی بررسی می‌کنیم. بعد روش ثبت را توضیح می‌دهم و موارد مبهم را پیگیری می‌کنیم.

Wat meldt Jonas aan de verhuurder?|What does Jonas report to the landlord?|یوناس به صاحب‌خانه چه گزارش می‌کند؟
Wat hij werkelijk ziet, met foto's.|What he actually sees, with photos.|آنچه واقعاً می‌بیند با عکس.
Een zekere diagnose zonder onderzoek.|A definite diagnosis without inspection.|تشخیص قطعی بدون بررسی.
Dag verhuurder, ik zie een vochtplek naast een lek. Ik stuur foto's van wat zichtbaar is. Ik weet niet of er ook schimmel of een verstopping is. Kunt u een onderzoek regelen in plaats van op mijn vermoedens af te gaan?|Hello landlord, I see a damp patch beside a leak. I am sending photos of what is visible. I do not know whether there is mould or a blockage too. Could you arrange an inspection rather than rely on my guesses?|سلام صاحب‌خانه، لکه رطوبت کنار نشتی می‌بینم و عکس قسمت قابل‌دیدن را می‌فرستم. نمی‌دانم کپک یا گرفتگی هم هست یا نه. به‌جای حدس من، بازدید هماهنگ می‌کنید؟
Dank u voor de duidelijke foto's. Ik noteer wat u hebt waargenomen en regel een onderzoek. We houden de vermoedens apart totdat de oorzaak gecontroleerd is.|Thank you for the clear photos. I will note your observations and arrange an inspection. We will keep guesses separate until the cause is checked.|ممنون برای عکس روشن. مشاهده‌ها را یادداشت و بازدید هماهنگ می‌کنم. حدس‌ها را تا بررسی علت جدا نگه می‌داریم.

Hoe koppelen bewoners de foto's aan de gebreken?|How do residents link photos to the defects?|ساکنان عکس‌ها را چطور به ایرادها وصل می‌کنند؟
Ze nummeren de foto's bij de beschrijvingen.|They number photos alongside descriptions.|عکس‌ها را کنار توضیح شماره می‌زنند.
Ze sturen losse foto's zonder uitleg.|They send separate photos without explanation.|عکس‌ها را بدون توضیح می‌فرستند.
Beste hersteller, we sturen een genummerde lijst met foto's van de gebreken. Bij elke foto staat een beschrijving van de juiste plaats. Wilt u laten weten welke informatie u nog nodig hebt om uw bezoek voor te bereiden?|Dear repairer, we are sending a numbered list with defect photos. Each photo describes the exact location. Please say what other information you need to prepare your visit.|تعمیرکار عزیز، فهرست شماره‌دار با عکس ایرادها می‌فرستیم. هر عکس توضیح محل دقیق دارد. بگویید برای آماده شدن بازدید چه اطلاعات دیگری می‌خواهید.
Ik bekijk de genummerde foto's en de beschrijvingen samen. Als een plaats onduidelijk is, vraag ik gericht extra informatie. Zo kan ik het nodige materiaal vooraf bespreken.|I will review the numbered photos and descriptions together. If a location is unclear, I will ask for specific details so I can discuss the required equipment beforehand.|عکس‌های شماره‌دار و توضیح را با هم می‌بینم. اگر محل مبهم باشد سؤال دقیق می‌پرسم تا وسایل لازم از قبل بررسی شود.

Welke uitleg vraagt Fien over de twee bedragen?|What explanation does Fien request about the two amounts?|فین درباره دو مبلغ چه توضیحی می‌خواهد؟
Welke kosten elk bedrag bevat.|Which costs each amount includes.|هر مبلغ شامل چه هزینه‌ای است.
Of beide bedragen al betaald zijn.|Whether both amounts have already been paid.|آیا هر دو مبلغ قبلاً پرداخت شده‌اند.
Goedendag, het bedrag in mijn huurcontract verschilt van dat op de factuur. Kunt u schriftelijk uitleggen welke kosten in elk bedrag zitten? Ik wil beide documenten vergelijken voordat ik besluit dat er een fout is.|Hello, the amount in my tenancy agreement differs from the invoice. Could you explain in writing which costs each amount includes? I want to compare both documents before deciding there is an error.|سلام، مبلغ قرارداد اجاره با فاکتور فرق دارد. کتبی توضیح می‌دهید هر مبلغ چه هزینه‌ای دارد؟ پیش از فرض اشتباه می‌خواهم دو مدرک را مقایسه کنم.
Ik vraag een uitsplitsing van de kosten voor beide documenten. Daarna kunnen we hetzelfde onderdeel met hetzelfde onderdeel vergelijken. Het verschil alleen bewijst nog niet waar de oorzaak ligt.|I will request an itemised breakdown for both documents. Then we can compare like components. The difference alone does not establish its cause.|ریز هزینه هر دو مدرک را می‌خواهم تا بخش یکسان را مقایسه کنیم. صرف تفاوت هنوز علت را ثابت نمی‌کند.

Wat zet Ali in zijn documentenlijst?|What does Ali put in his document list?|علی در فهرست مدارک چه می‌نویسد؟
Datums en vindplaatsen.|Dates and storage locations.|تاریخ‌ها و محل نگهداری.
Alleen documentnamen, zonder datum of map.|Only document names, without dates or folders.|فقط نام مدارک، بدون تاریخ و پوشه.
Hoi Ali, de verhuisdocumenten zitten in verschillende mappen. Maak een lijst met datums en vindplaatsen, ook voor het betalingsverzoek en de verzekeringspolis. Dan kun je bij een vraag meteen het juiste document terugvinden.|Hi Ali, the moving documents are in different folders. Make a list of dates and storage locations, including the payment request and insurance policy. Then you can find the correct document quickly when asked.|سلام علی، مدارک اسباب‌کشی در پوشه‌های مختلف‌اند. فهرست تاریخ و محل نگهداری بساز؛ درخواست پرداخت و بیمه‌نامه هم باشد. آن وقت برای هر سؤال مدرک درست را سریع پیدا می‌کنی.
Ik maak een overzicht met de datum en map van elk document. Daarna controleer ik of de meterstand en ontvangstbewijzen erbij staan. Zo hoef ik niet telkens alle papieren te doorzoeken.|I will list the date and folder for each document. Then I will check that meter readings and receipts are included so I need not search through all papers each time.|تاریخ و پوشه هر مدرک را فهرست می‌کنم. بعد عدد کنتور و رسیدها را بررسی می‌کنم تا هر بار همه کاغذها را نگردم.

Wie willen allebei dessert meebrengen?|Who both want to bring dessert?|چه کسانی هر دو می‌خواهند دسر بیاورند؟
Lila's zus en broer.|Lila's sister and brother.|خواهر و برادر لیلا.
Lila's moeder en grootmoeder.|Lila's mother and grandmother.|مادر و مادربزرگ لیلا.
Dag familie, mijn zus en broer willen allebei dessert meebrengen. Laten we eerst zeggen wie al iets gekocht heeft en wie nog geen taak heeft. Daarna verdelen we de overblijvende boodschappen, zodat niemand dubbel koopt.|Hello family, my sister and brother both want to bring dessert. Let us first say who already bought something and who has no task yet. Then we can divide the remaining shopping without buying duplicates.|سلام خانواده، خواهر و برادرم هر دو دسر می‌خواهند بیاورند. اول بگوییم چه کسی خرید کرده و چه کسی کار ندارد. بعد خرید باقی‌مانده را بدون تکرار تقسیم کنیم.
Ik vertel eerst wat ik al gekocht heb. Daarna kies ik een taak die nog vrij is. Zo stemmen we de boodschappen af en brengen we niet onnodig twee keer hetzelfde mee.|I will first say what I already bought. Then I will choose an unassigned task so we coordinate the shopping and do not bring the same thing twice unnecessarily.|اول می‌گویم چه خریده‌ام. بعد کار باقی‌مانده را می‌گیرم تا خرید هماهنگ شود و بی‌جهت یک چیز را دوبار نیاوریم.

Wat schrijft Noor achter op de foto's?|What does Noor write on the backs of the photos?|نور پشت عکس‌ها چه می‌نویسد؟
Namen en jaartallen.|Names and years.|نام‌ها و سال‌ها.
Alleen de plaats, zonder namen of jaartallen.|Only the place, without names or years.|فقط مکان، بدون نام یا سال.
Hallo Noor, op de oude foto's lijken je nicht en neef sterk op elkaar. Wil je namen en jaartallen achterop schrijven? Vertel bij één foto ook wie erbij was, zodat het verhaal later nog duidelijk is.|Hello Noor, your female and male cousins look very alike in the old photos. Could you write names and years on the back? Explain who was present in one photo too so the story remains clear later.|سلام نور، دخترخاله و پسرخاله‌ات در عکس قدیمی شبیه‌اند. نام و سال را پشت عکس می‌نویسی؟ درباره یکی هم بگو چه کسانی بودند تا داستان بعداً روشن بماند.
Ik schrijf namen en jaartallen op en controleer twijfelgevallen bij mijn familie. Bij één foto vertel ik een korte herinnering. Zo kan iemand anders de beelden later begrijpen.|I will add names and years and check uncertain details with family. I will tell a short memory for one photo so others can understand the pictures later.|نام و سال را می‌نویسم و مورد نامطمئن را از خانواده می‌پرسم. برای یک عکس خاطره کوتاه می‌گویم تا دیگران بعداً بفهمند.

Wat wil de vrijwilliger na zijn vergissing doen?|What does the volunteer want to do after his mistake?|داوطلب بعد از اشتباهش چه می‌خواهد بکند؟
Uitleg geven en een oplossing zoeken.|Explain and look for a solution.|توضیح بدهد و راه‌حل پیدا کند.
De vergissing blijven verbergen.|Keep hiding the mistake.|اشتباه را همچنان پنهان کند.
Dag vrijwilligers, ik heb een vergissing gemaakt en durfde die eerst niet te melden. Ik wil nu rustig uitleggen wat misliep en hoe ik het kan herstellen. Willen jullie mee kijken naar een haalbare oplossing?|Hello volunteers, I made a mistake and was afraid to report it at first. I now want to explain calmly what went wrong and how I can repair it. Could you help look for a workable solution?|سلام داوطلبان، اشتباه کردم و اول جرئت گفتن نداشتم. حالا آرام توضیح می‌دهم چه شد و چگونه جبران کنم. برای راه‌حل عملی کمک می‌کنید؟
Bedankt dat je het duidelijk meldt. Vertel wat er gebeurde en wat je voorstel is. We bekijken samen wat hersteld kan worden en wie daarbij kan helpen.|Thank you for reporting it clearly. Tell us what happened and what you propose. We will look together at what can be fixed and who can help.|ممنون که روشن گفتی. بگو چه شد و پیشنهادت چیست. با هم می‌بینیم چه قابل‌اصلاح است و چه کسی کمک می‌کند.

Wat mag de nieuwe buur volgens de uitnodiging doen?|What may the new neighbour do according to the invitation?|همسایه تازه طبق دعوت چه اجازه‌ای دارد؟
Zonder iets mee te brengen een halfuur blijven.|Stay half an hour without bringing anything.|بدون آوردن چیزی نیم‌ساعت بماند.
Alleen komen als hij een hele avond vrij is.|Come only if free for the whole evening.|فقط اگر تمام شب آزاد است بیاید.
Dag nieuwe buur, je bent welkom bij ons. Je hoeft niets mee te brengen en mag gerust maar een halfuur blijven. We willen dat je zonder druk kunt kennismaken. Laat weten of deze uitleg duidelijk is.|Hello new neighbour, you are welcome with us. You do not need to bring anything and may stay only half an hour. We want you to meet people without pressure. Let us know whether this is clear.|سلام همسایه تازه، خوش آمدی. لازم نیست چیزی بیاوری و نیم‌ساعت ماندن هم خوب است. می‌خواهیم بدون فشار آشنا شوی. بگو این توضیح روشن است یا نه.
Bedankt voor de duidelijke uitnodiging. Een halfuur past goed en ik begrijp dat ik niets hoef mee te brengen. Kunt u nog zeggen hoe laat ik kan langskomen?|Thank you for the clear invitation. Half an hour suits me and I understand I need not bring anything. Could you say what time I may come?|ممنون برای دعوت روشن. نیم‌ساعت مناسب است و فهمیدم چیزی لازم نیست بیاورم. می‌گویید چه ساعتی می‌توانم بیایم؟

Wat bespreken de vrienden voordat ze een avondactiviteit kiezen?|What do the friends discuss before choosing an evening activity?|دوستان قبل از انتخاب برنامه شب چه بررسی می‌کنند؟
Hoe laat iedereen thuis moet zijn.|When everyone needs to be home.|هرکس چه ساعتی باید خانه باشد.
Welke film het duurste kaartje heeft.|Which film has the most expensive ticket.|کدام فیلم گران‌ترین بلیت دارد.
Hoi vrienden, er zijn vanavond veel activiteiten. Zeg eerst hoe laat je thuis moet zijn. Dan schrappen we opties die te laat eindigen en kiezen we iets dat voor iedereen past. De mooiste affiche alleen helpt ons niet kiezen.|Hi friends, there are many activities tonight. First say when you need to be home. Then we can remove options that finish too late and choose something suitable for everyone. The prettiest poster alone will not help.|سلام دوستان، امشب برنامه زیاد است. اول بگویید چه ساعتی باید خانه باشید؛ گزینه دیرتمام را حذف و برنامه مناسب همه انتخاب کنیم. فقط پوستر زیبا انتخاب را حل نمی‌کند.
Ik geef mijn uiterste thuistijd door voordat we kiezen. Daarna vergelijken we de eindtijden van de activiteiten. Zo vermijden we een plan waar iemand halverwege moet vertrekken.|I will give my latest home time before we choose. Then we will compare finishing times and avoid a plan requiring someone to leave halfway.|پیش از انتخاب آخرین زمان رسیدن به خانه را می‌گویم. بعد پایان برنامه‌ها را مقایسه می‌کنیم تا کسی مجبور نشود وسط کار برود.

Wat maakt Farah tijdens de workshop?|What does Farah make in the workshop?|فرح در کارگاه چه می‌سازد؟
Een klein boekje.|A small booklet.|دفترچه کوچک.
Een houten stoel.|A wooden chair.|صندلی چوبی.
Hoi, Farah hier. In de workshop heb ik voor het eerst een boekje gemaakt. Ik leerde er ook een weetje dat vanavond bij de quiz kan helpen. Kom je erbij? Dan vertel ik hoe we het boekje gemaakt hebben.|Hi, Farah here. I made a booklet for the first time in the workshop. I also learned a fact that could help at tonight's quiz. Will you join us? Then I will explain how we made it.|سلام، فرح هستم. در کارگاه اولین دفترچه‌ام را ساختم و نکته‌ای یاد گرفتم که در مسابقه امشب کمک می‌کند. می‌آیی؟ روش ساخت را هم تعریف می‌کنم.
Ik kom graag luisteren hoe je het boekje gemaakt hebt. Vertel ook welk weetje je geleerd hebt. Misschien kunnen we die nieuwe kennis inderdaad samen gebruiken bij de quiz.|I would like to hear how you made the booklet. Tell me what fact you learned too. Perhaps we can use the new knowledge together in the quiz.|می‌آیم بشنوم دفترچه را چطور ساختی. نکته تازه را هم بگو؛ شاید واقعاً در مسابقه با هم استفاده کنیم.

Waar twijfelt de groep over de richting?|Where does the group become unsure of the direction?|گروه کجا درباره جهت تردید می‌کند؟
Bij de vijver.|At the pond.|کنار برکه.
In het station.|At the station.|در ایستگاه.
Hallo wandelaars, we staan bij de vijver en twijfelen over de route naar het bos. Laten we de kaart vergelijken met wat we zien. We vertrekken pas opnieuw wanneer iedereen begrijpt welke richting we nemen.|Hello walkers, we are at the pond and unsure of the route towards the wood. Let us compare the map with what we can see. We will continue only when everyone understands our direction.|سلام پیاده‌روها، کنار برکه‌ایم و مسیر جنگل روشن نیست. نقشه را با چیزهای دیدنی مقایسه کنیم. وقتی همه جهت را فهمیدند دوباره حرکت می‌کنیم.
Ik kijk mee op de kaart en zoek de vijver en het bos. Daarna herhaal ik de gekozen richting. Als onze uitleg verschilt, verduidelijken we dat voordat we verdergaan.|I will help find the pond and wood on the map. Then I will repeat the chosen direction. If our explanations differ, we will clarify before continuing.|برکه و جنگل را روی نقشه پیدا می‌کنم و جهت انتخابی را تکرار می‌کنم. اگر توضیح‌ها فرق داشت، پیش از ادامه روشن می‌کنیم.

In welke twee maanden fotografeert Ina dezelfde plaats?|In which two months does Ina photograph the same place?|اینا در کدام دو ماه از یک جا عکس می‌گیرد؟
April en juni.|April and June.|آوریل و ژوئن.
Januari en december.|January and December.|ژانویه و دسامبر.
Hoi taalpartner, ik heb in april en juni vanaf dezelfde plaats foto's genomen. Kijk naar de boom, de struik en het groen achter de haag. Kunnen we samen beschrijven wat tussen die twee maanden veranderd is?|Hi language partner, I took photos from the same place in April and June. Look at the tree, bush and greenery behind the hedge. Can we describe what changed between the two months together?|سلام همراه زبانی، در آوریل و ژوئن از یک نقطه عکس گرفتم. درخت، بوته و سبزی پشت پرچین را ببین. با هم تغییر این دو ماه را توضیح بدهیم؟
We leggen de foto's van april en juni naast elkaar. Ik beschrijf eerst wat op beide beelden hetzelfde is en daarna de verschillen. Zo vergelijk ik dezelfde plaats nauwkeurig.|We will put the April and June photos side by side. I will describe similarities first, then differences, to compare the same place carefully.|عکس آوریل و ژوئن را کنار هم می‌گذاریم. اول شباهت و بعد تفاوت را می‌گویم تا همان مکان دقیق مقایسه شود.

Waar ligt de hark terwijl iedereen zoekt?|Where is the rake while everyone searches?|هنگام جست‌وجوی همه شن‌کش کجاست؟
Onder zakken in de kruiwagen.|Under bags in the wheelbarrow.|زیر کیسه‌ها در فرغون.
Naast de gieter op tafel.|Beside the watering can on a table.|کنار آب‌پاش روی میز.
Dag tuingroep, de hark lag onder de zakken in de kruiwagen. Drie mensen zochten tegelijk. We maken nu één zichtbare materiaalhoek. Wil iedereen gebruikt gereedschap daarna op die vaste plaats terugleggen?|Hello gardening group, the rake was under bags in the wheelbarrow. Three people were searching at once. We are making one visible equipment corner. Will everyone return used tools to that fixed place afterwards?|سلام باغبان‌ها، شن‌کش زیر کیسه‌های فرغون بود و سه نفر هم‌زمان دنبالش می‌گشتند. حالا محل مشخص وسایل می‌سازیم. همه بعد از استفاده وسیله را همان‌جا می‌گذارند؟
Ik leg het gereedschap voortaan in de materiaalhoek terug. Voor ik zoek, vraag ik ook of iemand het gebruikt. Een gedeelde vaste plaats voorkomt dubbel zoekwerk.|I will return tools to the equipment corner. Before searching I will also ask whether someone is using them. A shared fixed place prevents duplicate searching.|از این به بعد وسایل را به محل ثابت برمی‌گردانم. قبل از جست‌وجو می‌پرسم کسی استفاده می‌کند یا نه. جای مشترک از جست‌وجوی تکراری جلوگیری می‌کند.

Waarvoor gebruiken de vrijwilligers tijdelijk het opgevangen water?|What do the volunteers temporarily use the collected water for?|داوطلبان موقتاً آب جمع‌شده را برای چه استفاده می‌کنند؟
Voor de kleine planten.|For the small plants.|برای گیاهان کوچک.
Om de kapotte slang te testen.|To test the broken hose.|برای امتحان شلنگ خراب.
Hallo tuinhelpers, de slang lekt en we gebruiken die niet meer. Het probleem is gemeld. In de emmer zit opgevangen water; dat gebruiken we voorlopig voor de kleine planten. Laat de kapotte slang liggen tot ze nagekeken is.|Hello garden helpers, the hose leaks and we are no longer using it. The problem has been reported. There is collected water in the bucket for the small plants for now. Leave the broken hose until it is checked.|سلام کمک‌کنندگان باغ، شلنگ نشتی دارد و دیگر استفاده نمی‌کنیم. مشکل گزارش شده. آب جمع‌شده سطل را فعلاً برای گیاهان کوچک مصرف می‌کنیم. شلنگ را تا بررسی کنار بگذارید.
Ik gebruik voorlopig het water uit de emmer voor de kleine planten. De slang laat ik liggen en ik meld het aan de andere helpers, zodat niemand die opnieuw aansluit.|I will use the bucket water for the small plants for now. I will leave the hose and inform the other helpers so nobody reconnects it.|فعلاً آب سطل را به گیاهان کوچک می‌دهم. شلنگ را کنار می‌گذارم و به بقیه می‌گویم تا کسی دوباره وصل نکند.

Wat ontdekt Omar wanneer hij thuiskomt?|What does Omar discover when he gets home?|عمر وقتی خانه می‌رسد چه می‌فهمد؟
Er liggen nog groenten thuis.|There are still vegetables at home.|هنوز در خانه سبزی هست.
Alle appels zijn op.|All the apples are gone.|همه سیب‌ها تمام شده.
Hoi, Omar hier. Ik heb veel groenten gekocht, maar er lagen thuis nog groenten. Voor we opnieuw winkelen, plan ik maaltijden met wat er al is. Wil je mee de voorraad bekijken en kleinere hoeveelheden op een lijst zetten?|Hi, Omar here. I bought many vegetables but still had vegetables at home. Before shopping again I will plan meals using what we already have. Can you help check supplies and list smaller quantities?|سلام، عمر هستم. سبزی زیاد خریدم ولی در خانه هم بود. پیش از خرید دوباره با موجودی غذا برنامه‌ریزی می‌کنم. موجودی را ببینیم و مقدار کمتر در فهرست بنویسیم؟
We bekijken eerst wat al in huis is en kiezen daar maaltijden bij. Daarna schrijven we alleen op wat ontbreekt. Voor twee personen hoeven we niet zoveel tegelijk te kopen.|We will check what is already at home and plan meals around it. Then we will list only what is missing. Two people do not need so much at once.|اول موجودی خانه را می‌بینیم و غذا مناسبش انتخاب می‌کنیم. بعد فقط کمبود را می‌نویسیم. برای دو نفر خرید خیلی زیاد لازم نیست.

Wat is Yasmin vergeten op de markt?|What did Yasmin forget at the market?|یاسمین چه چیزی را در بازار فراموش کرده؟
Aardbeien voor het dessert.|Strawberries for dessert.|توت‌فرنگی دسر.
Uien voor het hoofdgerecht.|Onions for the main dish.|پیاز غذای اصلی.
Dag gasten, ik ben de aardbeien voor het dessert vergeten. In plaats van opnieuw naar de markt te rijden, vraag ik wat jullie thuis aan fruit hebben. Kan iemand iets meebrengen? Dan passen we het dessert aan.|Hello guests, I forgot the strawberries for dessert. Rather than drive to the market again, I am asking what fruit you have at home. Could someone bring some? Then we will adapt dessert.|سلام مهمان‌ها، توت‌فرنگی دسر را فراموش کردم. به‌جای رفتن دوباره بازار می‌پرسم چه میوه‌ای خانه دارید. کسی چیزی می‌آورد تا دسر را تغییر بدهیم؟
Ik kijk welk fruit ik thuis heb en laat je weten wat ik kan meebrengen. Wacht dus nog even met terugrijden. We kunnen het dessert aan de beschikbare ingrediënten aanpassen.|I will check what fruit I have and tell you what I can bring. Wait before driving back. We can adapt dessert to the available ingredients.|میوه خانه را بررسی و خبر می‌دهم چه می‌آورم. فعلاً برای برگشت صبر کن. دسر را با مواد موجود تغییر می‌دهیم.

Hoe vindt de vrijwilliger uit voor wie elk drankje is?|How does the volunteer find out whom each drink is for?|داوطلب چطور می‌فهمد هر نوشیدنی برای چه کسی است؟
Hij herhaalt de bestelling aan tafel.|He repeats the order at the table.|سفارش را سر میز تکرار می‌کند.
Hij geeft alles willekeurig rond.|He distributes everything randomly.|همه را تصادفی می‌دهد.
Dag tafel, ik heb vijf drankjes op mijn dienblad en weet niet meer wie wat koos. Ik herhaal de bestelling. Wijs je eigen drankje aan voordat ik het neerzet. Dan krijgt iedereen wat hij gevraagd heeft.|Hello table, I have five drinks on my tray and cannot remember who chose what. I will repeat the order. Point to yours before I set it down so everyone gets what they requested.|سلام دوستان میز، پنج نوشیدنی در سینی است و یادم نیست هرکس چه انتخاب کرد. سفارش را تکرار می‌کنم. قبل از گذاشتن، نوشیدنی خود را نشان دهید تا درست برسد.
Goed dat je de bestelling controleert. Ik luister naar de vijf drankjes en wijs aan wat ik besteld heb. Als iets ontbreekt, zeg ik dat rustig voordat je verdergaat.|Good that you are checking the order. I will listen to the five drinks and point to my order. If something is missing, I will say calmly before you continue.|خوب است سفارش را بررسی می‌کنی. پنج نوشیدنی را می‌شنوم و مورد خودم را نشان می‌دهم. اگر چیزی کم است، آرام پیش از ادامه می‌گویم.

Welke koffie had de klant besteld?|Which coffee had the customer ordered?|مشتری چه قهوه‌ای سفارش داده بود؟
Een cafeïnevrije koffie.|A decaffeinated coffee.|قهوه بدون کافئین.
Een gewone koffie.|A regular coffee.|قهوه معمولی.
Excuseer, ik had een cafeïnevrije koffie besteld, maar volgens mij staat hier een gewone koffie. Kunt u het bestelbriefje controleren? Ik wil eerst zeker weten welke koffie dit is voordat ik ervan drink.|Excuse me, I ordered decaffeinated coffee but think this is regular coffee. Could you check the order slip? I want to know which it is before drinking.|ببخشید، قهوه بدون کافئین سفارش دادم ولی فکر می‌کنم این معمولی است. برگه سفارش را بررسی می‌کنید؟ پیش از نوشیدن می‌خواهم مطمئن شوم کدام است.
Ik controleer het bestelbriefje en vraag na welke koffie u gekregen hebt. Als het de verkeerde is, zorg ik voor de juiste bestelling. Bedankt dat u het rustig meldt.|I will check the order slip and ask which coffee you received. If it is wrong, I will arrange the correct order. Thank you for reporting it calmly.|برگه را بررسی و نوع قهوه را می‌پرسم. اگر اشتباه است، سفارش درست را می‌آورم. ممنون که آرام گفتید.

Wanneer kiest Hana haar gerecht?|When does Hana choose her dish?|هانا چه زمانی غذایش را انتخاب می‌کند؟
Nadat ze voldoende informatie over de saus heeft.|After she has enough information about the sauce.|پس از داشتن اطلاعات کافی درباره سس.
Voordat iemand de ingrediënten nakijkt.|Before anyone checks the ingredients.|پیش از بررسی مواد.
